"name","type","price"
"Zeb-S32A","Gaming Monitors","Sale priceRs. 53,999.00"
"Zeb-AC32FHD LED (165Hz)","Gaming Monitors","Sale priceRs. 44,999.00"
"Zeb-S27B","Gaming Monitors","Sale priceRs. 43,999.00"
"Zeb-S27A","Gaming Monitors","Sale priceRs. 42,999.00"
"ZEB-S24A","Gaming Monitors","Sale priceRs. 37,999.00"
"Zeb-A27FHD LED (165hz)","Gaming Monitors","Sale priceRs. 37,999.00"
"Zeb-A24FHD LED (165Hz)","Gaming Monitors","Sale priceRs. 33,999.00"
"Zeb-AC32FHD LED (75Hz)","Curved LED Monitor","Sale priceRs. 29,999.00"
"ZEB-A28UHD LED","LED Monitors","Sale priceRs. 29,999.00"
"Zeb-A27FHD LED (75hz)","LED Monitors","Sale priceRs. 27,999.00"
"Zeb-A27FHD LED","LED Monitors","Sale priceRs. 26,999.00"
"Zeb-AC32FHD LED","Curved LED Monitor","Sale priceRs. 26,999.00"
"Zeb-EA124","LED Monitors","Sale priceRs. 24,999.00"
"Zeb-A24FHD LED (75hz)","LED Monitors","Sale priceRs. 24,999.00"
"Zeb-A24FHD LED","LED Monitors","Sale priceRs. 24,999.00"
"ZEB-S22A","Gaming Monitors","Sale priceRs. 23,999.00"
"Zeb-EA220","LED Monitors","Sale priceRs. 21,999.00"
"Zeb-A22FHD LED","LED Monitors","Sale priceRs. 21,999.00"
"ZEB-EA122","LED Monitors","Sale priceRs. 12,999.00"
"Zeb-A19HD LED (With HDMI)","LED Monitors","Sale priceRs. 9,999.00"
"Zeb-A20HD LED","LED Monitors","Sale priceRs. 9,499.00"
"ZEB-GV219","LED Monitors","Sale priceRs. 6,999.00"
"ZEB-GV119","LED Monitors","Sale priceRs. 6,999.00"
"ZEB-V19HD LED","LED Monitors","Sale priceRs. 6,999.00"
